Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate18_7-10-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-10 13:33:02 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,25.53339386,25.38231277,0.213660926,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,38.66861725,36.83687592,2.590470791,,,,FALSE,0.1,TRUE,3,35,,N,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,25.82496834,25.68801117,0.193686679,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,23.50736809,23.37711906,0.184199929,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,34.65469742,35.81948853,1.64726603,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,38.26137161,39.07727051,1.153855324,,,,FALSE,0.1,TRUE,3,34,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,24.2470932,24.06895447,0.251927555,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,20.19377518,20.0983963,0.134886101,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,30.38254547,30.90372658,0.737061381,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,33.26957703,34.89303589,2.295920134,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,35.34786987,34.38454437,1.36234796,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,25.23123169,25.38231277,0.213660926,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,35.0051384,36.83687592,2.590470791,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,25.551054,25.68801117,0.193686679,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,23.24687004,23.37711906,0.184199929,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,36.98428345,35.81948853,1.64726603,,,,FALSE,0.1,TRUE,3,34,,N,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,39.8931694,39.07727051,1.153855324,,,,FALSE,0.1,TRUE,3,35,,N,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,23.89081383,24.06895447,0.251927555,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,20.00301743,20.0983963,0.134886101,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,31.42490768,30.90372658,0.737061381,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,36.51649857,34.89303589,2.295920134,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,33.42121887,34.38454437,1.36234796,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,32.44942856,32.52964783,0.113444477,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,21.46486664,21.44158554,0.032924443,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,22.29146767,22.2907753,0.000980504,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,21.76656151,21.6998291,0.094372526,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,22.81540298,22.87478828,0.083983496,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,32.77834702,,,,,FALSE,0.1,TRUE,3,37,,N,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,31.32388496,31.76480103,0.62354815,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,33.6136055,32.57746506,1.465323925,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,21.37884712,21.07834625,0.424972415,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,20.79049683,20.84391785,0.075548731,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,32.60986328,32.52964783,0.113444477,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,21.41830444,21.44158554,0.032924443,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,22.29008102,22.2907753,0.000980504,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,21.6330986,21.6998291,0.094372526,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,22.93417358,22.87478828,0.083983496,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,32.77834702,32.77834702,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,32.20571518,31.76480103,0.62354815,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,31.54132462,32.57746506,1.465323925,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,20.77784538,21.07834625,0.424972415,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,20.89733887,20.84391785,0.075548731,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,37.39994049,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,33.54281235,34.74839783,1.704952598,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,39.01003647,39.01003647,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,37.72108841,37.72108841,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,36.26967621,36.37342072,0.146714196,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,30.99445724,30.20881844,1.111061096,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,38.25396347,35.97257996,3.226366282,,,,FALSE,0.1,TRUE,3,34,,N,Y,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,37,,N,N,N,Y
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,37.39994049,37.39994049,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,35.95397949,34.74839783,1.704952598,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,39.01003647,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,37.72108841,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,36.47716141,36.37342072,0.146714196,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,29.42317963,30.20881844,1.111061096,,,,FALSE,0.1,TRUE,3,25,,N,Y,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,33.69119263,35.97257996,3.226366282,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,21.6958065,21.81001663,0.161518857,,,,FALSE,0.1,TRUE,3,17,,Y,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,21.19396591,21.3029213,0.154087529,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G6,Sample 6,D,UNKNOWN,SYBR,None,34.25407791,34.25407791,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,21.32728195,21.43440437,0.151493981,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,21.87338066,22.02158737,0.209595934,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,23.28022957,23.23842049,0.059126969,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,24.48285866,24.50431442,0.030343033,,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,31.63264275,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,21.92422867,21.81001663,0.161518857,,,,FALSE,0.1,TRUE,3,17,,Y,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,21.41187859,21.3029213,0.154087529,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,34.25407791,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
H7,Sample 7,D,UNKNOWN,SYBR,None,21.54152679,21.43440437,0.151493981,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,22.16979408,22.02158737,0.209595934,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,23.1966114,23.23842049,0.059126969,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,24.52577019,24.50431442,0.030343033,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,31.63264275,31.63264275,,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N