,X,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate.x,ID,Species.x,Region.x,Site.x,CollectionDate.x,Season.x,Rain.x,propA.x,propB.x,propC.x,propD.x,dom.x,background.x,totalSym.x,redo,Sample.Plate.y,Species.y,Region.y,Site.y,CollectionDate.y,Season.y,Rain.y,propA.y,propB.y,propC.y,propD.y,dom.y,background.y,totalSym.y
1,4,reps,Sample 12,UrbanPopgen_Plate01_6-29-23_data.csv,22.33958817,33.10518456,21.95073223,24.09278107,NA,0.096531792,0.65838233,0.275444827,1,2,2,2,0,0,0,0,0.010090277,0.005809215,0,99.10530422,0.575724048,0,172.1402894,1.736943252,Sample 12_UrbanPopgen_Plate01_6-29-23_data.csv,urban_104,Mcav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0,0.003673154,0.364029048,0.632297798,D,B,1,y,Sample 9_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Miami reef,Rainbow Reef,22-Oct,,,NA,NA,NA,NA,,,NA
31,15,stdv,Sample 03,UrbanPopgen_Plate03_6-30-23_data.csv,21.87146378,34.88586998,35.70667458,21.9437418,1.785084246,3.619075022,3.364521552,0.355326928,2,2,2,2,919.3568875,37350.70243,0.350458501,0.001087717,40.6269893,0.0003812,2.68E-05,0.024614179,9.38E-06,2.85340489,2623.297439,106576.677,Sample 3_UrbanPopgen_Plate03_6-30-23_data.csv,urban_193,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0,0,0,1,D,,1,y,Sample 3_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0.283677606,0,0,0.716322394,D,,1
32,161,stdv,Sample 04,UrbanPopgen_Plate03_6-30-23_data.csv,21.04648018,35.5796299,NA,20.70139218,1.574644028,4.492497993,NA,0.124952931,2,2,0,2,2634.337937,0,0.262419984,0.000379602,0,9.96E-05,0,0,0,3.810685394,10038.6331,0,Sample 4_UrbanPopgen_Plate03_6-30-23_data.csv,urban_199,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0,0,0,1,D,,1,y,Sample 1_UrbanPopgen_Plate84_3-31-24_data.csv,Mcav,Miami urban,MacArthur North,23-Jan,,,NA,NA,NA,NA,,,NA
33,191,stdv,Sample 07,UrbanPopgen_Plate03_6-30-23_data.csv,22.41695118,NA,31.77545738,21.66415596,2.202667138,NA,NA,0.182271297,2,0,1,2,0,0,0.197817543,0,0,0,0,0,0,5.055163383,0,0,Sample 7_UrbanPopgen_Plate03_6-30-23_data.csv,urban_209,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0,0,0,1,D,,1,y,Sample 4_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0.272957141,0,0,0.727042859,D,,1
34,20,stdv,Sample 08,UrbanPopgen_Plate03_6-30-23_data.csv,22.91630459,NA,34.22299957,23.22680569,3.133695736,NA,NA,0.106081934,2,0,1,2,0,0,0.413379457,0,0,0,0,0,0,2.419084896,0,0,Sample 8_UrbanPopgen_Plate03_6-30-23_data.csv,urban_210,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0,0,0,1,D,,1,y,Sample 5_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,MacArthur North,23-Jan,Winter,Dry,0.366568617,0,0,0.633431383,D,,1
30,12,stdv,Sample 11,UrbanPopgen_Plate03_6-30-23_data.csv,25.0876646,32.01556397,31.79612828,20.56312943,3.116518705,0.275496078,0.071420366,0.140877018,2,2,2,2,13.52891619,267.2600945,0.01448298,0.073915751,19.75473059,0.00107052,0.003741673,0.050620787,5.42E-05,69.046562,934.1251504,18453.39068,Sample 11_UrbanPopgen_Plate03_6-30-23_data.csv,urban_006,Mcav,Miami urban,Star Island,22-Jul,Summer,Wet,0,0.001069318,5.41E-05,0.998876553,D,BC,1,y,Sample 6_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Jul,,,NA,NA,NA,NA,,,NA
36,251,stdv,Sample 02,UrbanPopgen_Plate04_6-30-23_data.csv,21.40739441,36.00469208,NA,21.62401963,1.683044374,NA,NA,0.205897806,2,1,0,2,0,0,0.3873374,0,0,0,0,0,0,2.581728489,0,0,Sample 2_UrbanPopgen_Plate04_6-30-23_data.csv,urban_012,Mcav,Miami urban,Star Island,22-Jul,Summer,Wet,0,0,0,1,D,,1,y,Sample 6_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,Star Island,22-Jul,Summer,Wet,0.195670676,0,0,0.804329324,D,,1
37,26,stdv,Sample 03,UrbanPopgen_Plate04_6-30-23_data.csv,25.34542465,30.72720718,32.18673706,20.61559678,3.439760083,0.010366101,0.246445098,0.037626007,2,2,2,2,4.632713705,293.0390999,0.012561997,0.215856205,63.25430808,0.002711585,0.003412514,0.0158092,4.29E-05,79.6051783,368.7880005,23327.4298,Sample 3_UrbanPopgen_Plate04_6-30-23_data.csv,urban_015,Mcav,Miami urban,Star Island,22-Jul,Summer,Wet,0,0.002704137,4.28E-05,0.997253113,D,BC,1,y,Sample 7_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Jul,,,NA,NA,NA,NA,,,NA
14,27,reps,Sample 04,UrbanPopgen_Plate04_6-30-23_data.csv,26.1758728,28.39775467,23.32327175,27.66944218,NA,NA,0.0866229,0.030347079,1,1,2,2,0,0,0,0,0,0,0,0,2.652901241,0,0,0.376945807,Sample 4_UrbanPopgen_Plate04_6-30-23_data.csv,urban_031,Mcav,Miami urban,Star Island,22-Jul,Summer,Wet,0,0,0.726244994,0.273755006,C,,1,y,Sample 8_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Jul,,,NA,NA,NA,NA,,,NA
38,28,stdv,Sample 05,UrbanPopgen_Plate04_6-30-23_data.csv,21.68590641,32.62858963,28.42216111,21.53604413,2.430972232,NA,0.246828131,0.102052019,2,1,2,2,0,272.4583036,0.300445499,0,0,0,0.003670286,0,0.001102721,3.328390684,0,906.8476793,Sample 5_UrbanPopgen_Plate04_6-30-23_data.csv,urban_072,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0,0,0.001101506,0.998898494,D,C,1,y,Sample 7_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0.231836498,0,1.48E-05,0.768148652,D,C,1
39,29,stdv,Sample 06,UrbanPopgen_Plate04_6-30-23_data.csv,21.55422688,NA,27.39712525,20.80646515,2.981495032,NA,0.328537713,0.227506664,2,0,2,2,0,146.680708,0.198508924,0,0,0,0.006817529,0,0.00135334,5.037556905,0,738.9124135,Sample 6_UrbanPopgen_Plate04_6-30-23_data.csv,urban_073,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0,0,0.001351511,0.998648489,D,C,1,y,Sample 8_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0.136995083,0,1.27E-05,0.86299226,D,C,1
15,30,reps,Sample 07,UrbanPopgen_Plate04_6-30-23_data.csv,24.97176934,NA,19.46757889,NA,7.555960227,NA,0.125771591,NA,2,0,2,0,0,0.056306548,0,0,0,0,17.75992391,0,0,0,0,0,Sample 7_UrbanPopgen_Plate04_6-30-23_data.csv,urban_074,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0,0,1,0,C,,1,y,Sample 8_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Sep,,,NA,NA,NA,NA,,,NA
40,311,stdv,Sample 08,UrbanPopgen_Plate04_6-30-23_data.csv,21.42833233,NA,26.93352032,21.29322624,2.631993144,NA,0.533727458,0.03695975,2,0,2,2,0,116.0678773,0.30353429,0,0,0,0.008615648,0,0.002615145,3.294520698,0,382.3880241,Sample 8_UrbanPopgen_Plate04_6-30-23_data.csv,urban_075,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0,0,0.002608324,0.997391676,D,C,1,y,Sample 9_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,Star Island,22-Sep,Fall,Wet,0.285291378,0,4.76E-05,0.714661063,D,C,1
41,32,stdv,Sample 09,UrbanPopgen_Plate04_6-30-23_data.csv,30.97127057,29.15493393,NA,22.82356262,2.253008679,0.991393681,NA,0.001200342,2,2,0,2,0.031549006,0,0.001175369,31.69671977,0,0.037255344,0,0,0,850.7965929,26.84178675,0,Sample 9_UrbanPopgen_Plate04_6-30-23_data.csv,urban_131,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,0,0.035917235,0,0.964082765,D,B,1,y,Sample 10_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Oct,,,NA,NA,NA,NA,,,NA
35,231,stdv,Sample 10,UrbanPopgen_Plate04_6-30-23_data.csv,20.95585632,34.13652802,32.9228096,22.49895287,2.065915784,1.015403224,1.747439358,0.141896638,2,2,2,2,1031.656298,10230.5085,0.971397746,0.000969315,9.916586097,0.00094159,9.77E-05,0.100841155,9.50E-05,1.029444431,1062.03283,10531.74,Sample 10_UrbanPopgen_Plate04_6-30-23_data.csv,M2,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,0,0.000941,0,0.999059295,D,B,1,y,Sample 10_UrbanPopgen_Plate31_7-13-23_data.csv,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,0.335743886,0,0,0.664256114,D,,1
13,24,reps,Sample 11,UrbanPopgen_Plate04_6-30-23_data.csv,30.96299171,33.35905457,NA,21.04282188,NA,0.909859419,NA,0.142125917,1,2,0,2,0,0,0,0,0,0.000588255,0,0,0,0,1699.942442,0,Sample 11_UrbanPopgen_Plate04_6-30-23_data.csv,urban_134,Mcav,Miami urban,Star Island,22-Oct,Fall,Wet,0,0.000588,0,0.999412091,D,B,1,y,Sample 11_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Miami urban,Star Island,22-Oct,,,NA,NA,NA,NA,,,NA
42,28,reps,Sample 01,UrbanPopgen_Plate09_7-5-23_data.csv,19.2100563,25.28147793,24.88463688,22.17199516,NA,0.069988043,0.011859114,NA,1,2,2,1,0,0,0,0,17.46894898,0,0,0.057244428,0,0,0,0,Sample 1_UrbanPopgen_Plate09_7-5-23_data.csv,urban_097,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0,0.945855067,0.054144933,0,B,C,1,y,Sample 11_UrbanPopgen_Plate31_7-13-23_data.csv,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0.563415739,0.019657359,0.000932,0.415994948,A,BC,1
61,31,reps,Sample 10,UrbanPopgen_Plate20_7-10-23_data.csv,26.00417042,21.44048119,34.63033486,NA,0.308152129,NA,3.048488973,NA,2,1,2,0,0,1009.76327,0,0,0,0,0.000990331,0,0,0,0,0,Sample 10_UrbanPopgen_Plate20_7-10-23_data.csv,OS16 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,1,0,0,0,A,,1,y,Sample 12_UrbanPopgen_Plate31_7-13-23_data.csv,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,0.008795894,0.991204106,0,0,B,A,1
43,46,reps,Sample 08,UrbanPopgen_Plate32_7-13-23_data.csv,26.14899826,23.50164891,NA,35.26170349,NA,0.016727919,NA,NA,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate32_7-13-23_data.csv,urban_166,Ofav,Miami reef,Emerald Reef,23-Jan,Winter,Dry,0,1,0,0,B,,1,y,Sample 12_UrbanPopgen_Plate83_3-31-24_data.csv,Ofav,Miami reef,Emerald Reef,23-Jan,,,NA,NA,NA,NA,,,NA
23,19,stdv,Sample 02,UrbanPopgen_Plate39_1-16-24_data.csv,19.62823773,32.74065018,21.15744972,NA,1.690002312,NA,0.019167713,NA,2,1,2,0,0,7.376052629,0,0,0,0,0.13557387,0,0,0,0,0,Sample 2_UrbanPopgen_Plate39_1-16-24_data.csv,urban_046,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0,0,1,0,C,,1,y,Sample 1_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
24,23,stdv,Sample 06,UrbanPopgen_Plate39_1-16-24_data.csv,18.72782803,30.81333065,27.26839447,NA,0.343984369,0.523431496,4.104714616,NA,2,2,2,0,482.8989842,951.5946791,0,0.002070826,1.970587452,0,0.001050868,0.507462888,0,0,0,0,Sample 6_UrbanPopgen_Plate39_1-16-24_data.csv,urban_050,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0.997933453,0.002066547,0,0,A,B,1,y,Sample 2_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
25,241,stdv,Sample 07,UrbanPopgen_Plate39_1-16-24_data.csv,18.2443533,32.00520039,22.32325364,NA,0.723778047,0.947152301,4.208950181,NA,2,2,2,0,1542.358142,43.18736213,0,0.000648358,0.028000865,0,0.023154922,35.71318242,0,0,0,0,Sample 7_UrbanPopgen_Plate39_1-16-24_data.csv,urban_051,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0.999352062,0.000648,0,0,A,B,1,y,Sample 3_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
26,25,stdv,Sample 08,UrbanPopgen_Plate39_1-16-24_data.csv,15.45358563,NA,24.1768961,35.79219055,1.765224657,NA,3.661312243,NA,2,0,2,1,0,1080.09869,0,0,0,0,0.000925841,0,0,0,0,0,Sample 8_UrbanPopgen_Plate39_1-16-24_data.csv,urban_055,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,0,0,0,0,,,0,y,Sample 4_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,BC1,22-Aug,,,NA,NA,NA,NA,,,NA
21,16,stdv,Sample 10,UrbanPopgen_Plate39_1-16-24_data.csv,16.13683319,35.82375717,21.4566412,NA,1.984403102,NA,0.008117819,NA,2,1,2,0,0,102.0721135,0,0,0,0,0.009796995,0,0,0,0,0,Sample 10_UrbanPopgen_Plate39_1-16-24_data.csv,urban_043,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0,0,1,0,C,,1,y,Sample 9_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
22,17,stdv,Sample 11,UrbanPopgen_Plate39_1-16-24_data.csv,15.26535654,20.62974644,31.18479729,NA,1.884636459,0.32796722,0.481269808,NA,2,2,2,0,4.57719861,158385.1663,0,0.218474243,34603.07927,0,6.31E-06,2.89E-05,0,0,0,0,Sample 11_UrbanPopgen_Plate39_1-16-24_data.csv,urban_044,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0,0.999985036,1.50E-05,0,B,C,1,y,Sample 10_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
2,18,reps,Sample 12,UrbanPopgen_Plate39_1-16-24_data.csv,21.91445351,36.35920334,21.29354191,NA,NA,2.483494617,0.528035949,NA,1,2,2,0,0,0,0,0,0.000670675,0,0,1491.036097,0,0,0,0,Sample 12_UrbanPopgen_Plate39_1-16-24_data.csv,urban_045,Mcav,Broward reef,FTL4,22-Aug,Summer,Wet,0,0,1,0,C,,1,y,Sample 11_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Broward reef,FTL4,22-Aug,,,NA,NA,NA,NA,,,NA
27,271,stdv,Sample 01,UrbanPopgen_Plate40_1-16-24_data.csv,24.81213856,33.26652908,21.7722416,NA,4.342316297,0.845753054,0.286015932,NA,2,2,2,0,38.97468664,0.31073141,0,0.025657679,0.007972647,0,3.218213436,125.4288602,0,0,0,0,Sample 1_UrbanPopgen_Plate40_1-16-24_data.csv,urban_058,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,0,0.037400249,0.962599751,0,C,B,1,y,Sample 5_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,BC1,22-Aug,,,NA,NA,NA,NA,,,NA
28,31,stdv,Sample 02,UrbanPopgen_Plate40_1-16-24_data.csv,23.04310799,31.74680138,23.14145279,NA,3.504298037,NA,1.75349232,NA,2,1,2,0,0,2.735836018,0,0,0,0,0.365518983,0,0,0,0,0,Sample 2_UrbanPopgen_Plate40_1-16-24_data.csv,urban_067,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,0,0,0,0,,,0,y,Sample 2_UrbanPopgen_Plate40_1-16-24_data.csv,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,0,0,0,0,,,0
29,31,stdv,Sample 02,UrbanPopgen_Plate40_1-16-24_data.csv,23.04310799,31.74680138,23.14145279,NA,3.504298037,NA,1.75349232,NA,2,1,2,0,0,2.735836018,0,0,0,0,0.365518983,0,0,0,0,0,Sample 2_UrbanPopgen_Plate40_1-16-24_data.csv,urban_067,Mcav,Broward reef,BC1,22-Aug,Summer,Wet,0,0,0,0,,,0,y,Sample 6_UrbanPopgen_Plate83_3-31-24_data.csv,Mcav,Broward reef,BC1,22-Aug,,,NA,NA,NA,NA,,,NA
62,161,reps,Sample 11,UrbanPopgen_Plate43_1-18-24_data.csv,29.45652104,28.33535385,32.90904522,21.58693123,0.683095889,NA,1.350529334,0.11022109,2,1,2,2,0,27.97684051,0.001425267,0,0,0,0.03574385,0,5.09E-05,701.6230361,0,19629.19578,Sample 11_UrbanPopgen_Plate43_1-18-24_data.csv,urban_293,Pseu,Broward reef,T328,23-May,Spring,Dry,0.005867016,0,0.000678,0.993455297,D,AC,1,y,Sample 2_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,Broward reef,T328,23-May,,,NA,NA,NA,NA,,,NA
63,162,reps,Sample 12,UrbanPopgen_Plate43_1-18-24_data.csv,34.13153267,22.21033478,32.54991913,NA,1.722259144,NA,NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 12_UrbanPopgen_Plate43_1-18-24_data.csv,urban_296,Pseu,Broward reef,T328,23-May,Spring,Dry,0,0,0,0,,,0,y,Sample 3_UrbanPopgen_Plate84_3-31-24_data.csv,Pseu,Broward reef,T328,23-May,,,NA,NA,NA,NA,,,NA
64,168,reps,Sample 01,UrbanPopgen_Plate45_1-19-24_data.csv,NA,NA,NA,34.63132286,NA,NA,NA,2.882809378,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate45_1-19-24_data.csv,Peanut_017,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 9_UrbanPopgen_Plate81_3-30-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
65,172,reps,Sample 02,UrbanPopgen_Plate45_1-19-24_data.csv,32.77054214,33.39748383,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate45_1-19-24_data.csv,Peanut_027,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 10_UrbanPopgen_Plate81_3-30-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
66,175,reps,Sample 05,UrbanPopgen_Plate45_1-19-24_data.csv,NA,NA,NA,33.51792145,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 5_UrbanPopgen_Plate45_1-19-24_data.csv,Peanut_031,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 11_UrbanPopgen_Plate81_3-30-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
67,184,reps,Sample 03,UrbanPopgen_Plate46_1-19-24_data.csv,NA,27.36781884,NA,34.98268127,NA,0.119454285,NA,NA,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate46_1-19-24_data.csv,Peanut_040,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,1,0,0,B,,1,y,Sample 12_UrbanPopgen_Plate81_3-30-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
68,188,reps,Sample 07,UrbanPopgen_Plate46_1-19-24_data.csv,NA,36.99856567,NA,27.85238457,NA,NA,NA,0.210804378,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 7_UrbanPopgen_Plate46_1-19-24_data.csv,Peanut_046,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,1,D,,1,y,Sample 1_UrbanPopgen_Plate82_3-31-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
87,141,reps,Sample 02,UrbanPopgen_Plate47_1-16-24_data.csv,NA,NA,NA,34.62078857,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate47_1-16-24_data.csv,Peanut_060,Dlab,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 4_UrbanPopgen_Plate82_3-31-24_data.csv,Dlab,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
69,191,reps,Sample 01,UrbanPopgen_Plate48_1-19-24_data.csv,NA,NA,NA,31.99750424,NA,NA,NA,2.515238946,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate48_1-19-24_data.csv,Peanut_051,Pseu,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 2_UrbanPopgen_Plate82_3-31-24_data.csv,Pseu,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
16,511,reps,Sample 02,UrbanPopgen_Plate49_1-19-24_data.csv,35.55851746,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate49_1-19-24_data.csv,Peanut_016,Mcav,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 8_UrbanPopgen_Plate81_3-30-24_data.csv,Mcav,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
17,531,reps,Sample 04,UrbanPopgen_Plate49_1-19-24_data.csv,38.79760742,32.40564728,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 4_UrbanPopgen_Plate49_1-19-24_data.csv,Peanut_053,Mcav,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 3_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
18,561,reps,Sample 07,UrbanPopgen_Plate49_1-19-24_data.csv,34.3316536,NA,NA,NA,2.624676448,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 7_UrbanPopgen_Plate49_1-19-24_data.csv,Peanut_091,Mcav,Palm Beach urban,Peanut Island,23-Mar,Spring,Dry,0,0,0,0,,,0,y,Sample 5_UrbanPopgen_Plate82_3-31-24_data.csv,Mcav,Palm Beach urban,Peanut Island,23-Mar,,,NA,NA,NA,NA,,,NA
46,25,reps,Sample 01,UrbanPopgen_Plate50_1-19-24_data.csv,37.6584053,39.75533676,NA,23.62794495,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_039,Ofav,Miami urban,Bill Baggs,21-Oct,Fall,Dry,0,0,0,0,,,0,y,Sample 1_UrbanPopgen_Plate61_3-24-24_data.csv,Ofav,Miami urban,Bill Baggs,21-Oct,,,NA,NA,NA,NA,,,NA
